topic;eigenvalue
Buying a house; 0.016067462036015827
Child; 0.01309879716684648
House; 0.01292416982160122
Real estate; 0.012749542476355959
Policy; 0.011177896369148647
Interest; 0.010654014333412874
Interaction; 0.010479386988167617
Future; 0.01030475964292237
Support; 0.009780877607186593
How; 0.009256995571450833
House price; 0.009256995571450825
Economy; 0.009082368226205563
Common people; 0.008733113535715063
This; 0.008383858845224546
Interest rate; 0.008209231499979288
Cannot; 0.00803460415473403
Loan; 0.00803460415473403
Mortgage; 0.00698684008326249
City; 0.006812212738017233
Problem; 0.006812212738017231
China; 0.006637585392771971
