topic;eigenvalue
Adjustment; 0.0083706236750738
Buying a house; 0.007690277470706699
Market; 0.0066904855574786
City; 0.006442569676556645
Suite; 0.006291381631141511
Mortgage interest rate; 0.0062734991741569485
Interest; 0.006089797570587969
Housing loan; 0.005914224356557538
Support; 0.005388317553420643
Video; 0.005305407980128582
Stock housing; 0.005171289552744497
Construction; 0.005049363709667726
Business; 0.0047266666449919306
Homebuyer; 0.004713661221730275
Like; 0.004613682030407496
Real estate; 0.004535649490838561
Lower limit; 0.004513702839084479
Level; 0.004471435213484881
Implement; 0.004312931617485303
Excited; 0.004256032890715973
Economy; 0.004226244220666639
Downward Adjustment; 0.0037567136995393406
Key; 0.003709760647426596
City; 0.0036628075953138734
One Year; 0.003662807595313871
Country; 0.003615854543201141
Down Payment; 0.0035689014910884154
First House; 0.0035689014910884106
Bitter; 0.0034280423347502207
Common People; 0.003381089282637491
Children; 0.003381089282637491
Major Threshold; 0.003287183178412031
Key Point; 0.003193277074186566
Leek; 0.003099370969961111
Interaction; 0.003099370969961109
Come On; 0.003052417917848377
This Year; 0.0030524179178483767
Cancel; 0.0028646057093974567
Lowest; 0.0028646057093974567
Market; 0.0028176526572847244
Second Child; 0.002817652657284724
Consultation; 0.0027706996051719964
Housing; 0.0027706996051719964
Individual; 0.0026767935009465314
Happy; 0.0025828873967210756
