topic;eigenvalue
Purchase Limit; 0.01730481881688317
House; 0.016543019359501945
House Price; 0.013604650023888812
Policy; 0.012734022072596034
Buying a House; 0.012516365084772822
Real Estate; 0.012407536590861221
Cancel; 0.009360338761336417
Liberalize; 0.007401425870927649
Market; 0.007292597377016044
Leek; 0.006966111895281251
Can’t Afford; 0.0066396264135464515
Wealthy; 0.0066396264135464515
Others; 0.006421969425723246
Hangzhou; 0.006313140931811646
Haha; 0.0060954839439884495
Problem; 0.005768998462253657
Maxim; 0.005768998462253655
