topic;eigenvalue
Interest Rate; 0.13199884473092358
Mortgage Loan; 0.0981507183767522
Policy; 0.06967299736958074
House Price; 0.038554293703342145
Loan; 0.03705794446311517
Leek; 0.019691312312640725
Excited; 0.018051053061275343
Children; 0.015762755784242393
Bitter; 0.014770534558544678
Public Fund; 0.013339580413875163
Real Estate; 0.012919628133777448
Hahaha; 0.07976651713225445
Beijing; 0.020932010150587915
Wuwu; 0.008698984167359773
House Price; 0.008283963898443412
Pension; 0.007677894109507166
Bitter; 0.007475870846528415
Comments; 0.00737485921503904
Hehe; 0.0062637312686559185
Focus; 0.006263731268655914
Expert; 0.006263731268655913
Problem; 0.0061627196371665345
Female; 0.005859684742698412
One Year; 0.005657661479719658
Salary; 0.005455638216740916
Community; 0.005253614953762164
Developer; 0.0050515916907834125
Hahaha; 0.004748556796315288
Loan; 0.004748556796315288
Policy; 0.004647545164825912
Farmer; 0.004546533533336539
Economy; 0.00434451027035779
Social Security; 0.004243498638868413
Hope; 0.004142487007379041
So; 0.004142487007379041
Personal; 0.00414248700737904
Price Reduction; 0.004041475375889666
Place; 0.004041475375889665
Have Money; 0.003839452112910913
Deceive; 0.0037384404814215406
Shanghai; 0.0037384404814215376
Young; 0.003637428849932165
Not Enough; 0.0035364172184427912
Interest; 0.003536417218442791
Hangzhou; 0.003536417218442789
Wuwu; 0.003536417218442789
Bank; 0.003435405586953415
Applause; 0.003435405586953414
Real Estate; 0.0033343939554640388
World; 0.0033343939554640388
