topic;eigenvalue
Purchase Limit; 0.01730481881688317
House; 0.016543019359501945
House Price; 0.013604650023888812
Policy; 0.012734022072596034
Buy a House; 0.012516365084772822
Real Estate; 0.012407536590861221
Open Up; 0.007401425870927649
Market; 0.007292597377016044
Leek; 0.006966111895281251
Can't Afford; 0.0066396264135464515
Have Money; 0.0066396264135464515
Others; 0.006421969425723246
Hangzhou; 0.006313140931811646
Hahaha; 0.0060954839439884495
Problem; 0.005768998462253657
Economy; 0.005941000186041788
Incompetent; 0.0057168537915486
Take Over; 0.005604780594301999
Focus; 0.005604780594301999
Down Payment; 0.005156487805315624
Society; 0.005156487805315624
Life; 0.004820268213575839
Housing; 0.004820268213575839
Suite; 0.00459612181908265
Children; 0.004596121819082649
Price Reduction; 0.004596121819082649
City; 0.0043719754245894575
Unlimited; 0.0043719754245894575
Other Cities; 0.004259902227342864
Real Estate Market; 0.004259902227342864
Can Afford; 0.004147829030096266
Comprehensive; 0.0040357558328496706
No Money; 0.0040357558328496706
Children; 0.003923682635603077
Future; 0.003923682635603076
Place; 0.003923682635603075
Community; 0.0038116094383564792
Loan; 0.003811609438356479
Family; 0.003699536241109885
Gatekeeper; 0.003699536241109885
Smile; 0.003699536241109884
Hehe; 0.0035874630438632905
Support; 0.003363316649370099
Country; 0.003363316649370099
Home Buying; 0.003363316649370099
Real Estate; 0.003363316649370098
