topic;eigenvalue
Buying a house; 0.016067462036015827
Child; 0.01309879716684648
House; 0.01292416982160122
Real Estate; 0.012749542476355959
Policy; 0.011177896369148647
Interest; 0.010654014333412874
Interaction; 0.010479386988167617
Future; 0.01030475964292237
Support; 0.009780877607186593
How; 0.009256995571450833
House Price; 0.009256995571450825
Economy; 0.009082368226205563
Common People; 0.008733113535715063
This; 0.008383858845224546
Interest Rate; 0.008209231499979288
Can't; 0.00803460415473403
Loan; 0.00803460415473403
Mortgage; 0.00698684008326249
City; 0.006812212738017233
Problem; 0.006812212738017231
China; 0.006637585392771971
Ordinary People; 0.006523344619783101
Suggestion; 0.0063470856459980855
Bank; 0.006347085645998085
Accumulation Fund; 0.006170826672213066
Public Accumulation Fund; 0.005994567698428058
Unfinished Projects; 0.005994567698428058
Wealthy; 0.005994567698428058
Real Estate; 0.005642049750858032
Expert; 0.005465790777073022
Open; 0.005289531803288007
Solve; 0.0052895318032880065
Interested; 0.005289531803288005
Marriage; 0.005289531803288005
Fertility; 0.0051132728295029935
Suite; 0.0051132728295029935
Market; 0.0051132728295029935
Family; 0.00493701385571798
Income; 0.00493701385571798
Someone; 0.00493701385571798
Rural; 0.00493701385571798
Hehe; 0.004760754881932968
University; 0.004760754881932967
Consumption; 0.004584495908147955
Salary; 0.004584495908147955
Graduation; 0.004408236934362942
Principle; 0.004408236934362942
