Location,Score
湖北,0.005647300314602116
陕西,0.5453269635180559
四川,0.294344966302042
浙江,0.5953402083510931
北京,0.6924899555060682
广东,-0.0720124977818377
江苏,0.741723019411114
河南,0.18703006219150647
上海,0.017336327061578838
福建,-0.30783224595702685
湖南,-0.22281993966054553
安徽,0.3652265649109302
山东,-0.43611286191250864
河北,0.7154528460114429
甘肃,0.3408192823516277
辽宁,0.4707237622423057
吉林,0.9761401066891552
新疆,0.09756863019597051
广西,0.8596351009488244
海南,0.04233400129120581
天津,0.0
山西,0.0
云南,0.02533205119520382
江西,0.02138205115520206
重庆,0.0
台湾,0.0099999999999565
香港,0.0
内蒙古,0.060757019551153535
贵州,0.0
黑龙江,0.01233300729520521
宁夏,0.0
澳门,0.0
西藏,0.0
