Location,Score
河南,0.16532614643881616
浙江,0.04500398948365064
山东,0.19504697666919613
江苏,-0.2383315351776411
广东,-0.18224583165805988
四川,0.20327017164534117
北京,0.18569841217396332
陕西,0.013545248256177034
河北,0.18095346109391547
江西,0.4335237873800424
湖南,0.34084945308162445
天津,0.5745049579259389
广西,0.6646991685325466
海南,-0.16621200188141214
宁夏,0.14414997682480346
湖北,0.6306735959141722
福建,0.7949208102926538
上海,0.43882077175500156
安徽,0.37644474435201447
新疆,0.757519909229869
重庆,-0.1621910294745575
吉林,0.3794625645035813
甘肃,-0.12624666192355982
内蒙,0.6183281577987073
辽宁,0.056100753811773055
西藏,0.0
海外,0.0
黑龙江,-0.0864534114940317
香港,0.0
山西,0.054108753511273215
内蒙古,0.0
云南,-0.0714622645035112
台湾,0.0
贵州,-0.02124266592455189
青海,0.0
澳门,0.0
