Location,Score
内蒙,0.9275158715665921
安徽,0.33068132797392974
北京,0.5265617736598631
江西,0.7772779769714354
广东,-0.46811632533712794
山东,0.8999818188377403
四川,-0.11225675621927839
海南,0.8302770400706594
天津,-0.15629025353373788
上海,0.13232846775889784
湖北,0.5439133625295389
河北,-0.40936399737809914
江苏,0.23683864076527572
吉林,-0.2391110162874709
重庆,0.6831983176606252
陕西,0.7145505635122269
福建,0.6252041450515604
湖南,-0.03717714595743643
河南,0.06623889041453321
浙江,0.012487457386545775
云南,0.05362445612413769
香港,0.0
广西,0.0
澳门,0.9891527002200302
黑龙江,-0.08410423651263716
甘肃,0.0
内蒙古,0.02361425652413721
山西,0.0
辽宁,0.09460473631203596
台湾,0.0
青海,0.01321525657413228
新疆,0.0
贵州,0.0
西藏,0.0
宁夏,-0.07992432087531848
