文本,宏观集群密度,帖子平均情绪值,宏观集群信任度值,群体情绪指数1,时间
国家发改委发布恢复和扩大消费二十条措施月日，国务院办公厅转发国家发展改革委关于恢复和扩大消费措施的通知，就住房、汽车、休假、文旅等方面提出二十条针对性举措。其中提出，扩大服务消费，丰富文旅消费，全面落实带薪休假制度，鼓励错峰休假、弹性作息，促进假日消费；促进文娱体育会展消费，优化审批流程，加强安全监管和服务保障，增加戏剧节、音乐节、艺术节、动漫节、演唱会等大型活动供给；稳定大宗消费，各地不得新增汽车限购措施，支持刚性和改善性住房需求，提升家装家居和电子产品消费；提升健康服务消费，坚持中西医并重，开发面向老年人健康服务产品。,0.0031880977683315,-0.9477871299016618,0.6971893395199467,-0.0116351754757737,2023-01-03 18:43:27
上证指数摸高点，两市成交再破万亿，股稳了吗？股三大指数在月最后一个交易日纷纷收涨，沪指涨，收报点；深证成指涨，收报点；创业板指涨，收报点。市场成交额继续放大，沪市成交亿元，深市成交亿元，两市合计成交亿元，较前一交易日的亿元明显放量，为月日以来首次成交额超过万亿，其中北向资金净买入近百亿元。有人调侃称，自从胡锡进月日入市后，整个月上证指数均未跌破其入市当日创下低点点，而随着政治局会议利好及相应利好政策频发，上证指数更是在月底一路走高，今日一度摸高点创下月度新高，“胡锡进底”或日渐牢固。而真正决定市场走向的还是基本面因素。政策层面，今日国家统计局公布了月份制造业采购经理指数（）为，比上月上升个百分点，制造业景气水平持续改善。从企业规模看，大型企业为，与上月持平；中型企业为，比上月上升个百分点；小型企业为，比上月上升个百分点，数据反映出了中国经济持续复苏的迹象。同一时间，国务院办公厅转发国家发展改革委《关于恢复和扩大消费措施》的通知。该措施要求，把恢复和扩大消费摆在优先位置，优化就业、收入分配和消费全链条良性循环促进机制，增强消费能力，改善消费条件，创新消费场景，充分挖掘超大规模市场优势。针对稳定大宗消费、扩大服务消费、促进农村消费、拓展新型消费、完善消费设施、优化消费环境，发改委提出了二十条措施，被市场普遍解读为政策利好。在板块表现层面，今日地产相关板块继续走强，华远地产、中南建投、荣盛发展等多股涨停。地产股本轮强势的表现源于其直接受益于政策利好，继月日中央政治局会议提出“适时调整优化房地产政策”及住建部表态进一步落实好各项政策措施后，一线城市密集表态，目前北上广深四大城市已经有三座城市放风。月日，北京市住建委表示，将更好满足刚性和改善性住房需求，促进北京房地产市场平稳健康发展。月日，深圳市住房建设局表示，将结合深圳市房地产实际情况，会同市有关部门、中央驻深机构和各区抓好贯彻落实，更好满足居民刚性和改善性住房需求，扎实推进保交楼工作，切实维护房地产市场秩序，促进深圳市房地产市场平稳健康发展。同日，媒体援引广州市住建局工作人员回应称，将结合广州实际尽快推出有关政策措施，大力支持、更好满足刚性和改善性住房需求。上周五券商龙头中信证券强势涨停，带动证券指数大涨后，今日非银金融板块开盘冲高，随后涨幅明显回落，天风证券、西南证券、太平洋等多股涨停。在最新的一篇安信证券的研报中，其复盘了年至今共次券商大涨（券商指数单日涨）后市场表现，表示后续大盘指数上涨概率较高。而随着暑期档电影票房火爆，传媒板块拉升领涨，星辉娱乐涨超，华谊兄弟大涨。根据灯塔专业版数据，截至月日时分，年暑期档（月日月日）总票房（含预售）突破亿。除了电影热映的因素外，巨丰投顾高级投资顾问李建杰表示：传媒板块作为人工智能主要受益方向之一，也是板块的重要方向，未来与“”深度融合的发展前景值得期待，预计带来的商业模式、收入、利润率影响将在明年开始逐渐体现。短期来看，关注版号驱动和边际应用变化；长期来看，助力游戏编辑平台释放用户端生产力，带来游戏内容与用户体量螺旋式上升，看好传媒板块的后续发展。受国家整治医药腐败影响，今日医药生物板块领跌，恒瑞医药大跌超。月日，纪检监察机关配合开展全国医药领域腐败问题集中整治工作动员部署视频会议在北京召开。会议指出，集中整治医药领域腐败问题是推动健康中国战略实施、净化医药行业生态、维护群众切身利益的必然要求。要以监督的外部推力激发履行主体责任的内生动力，深入开展医药行业全领域、全链条、全覆盖的系统治理。加大执纪执法力度，紧盯领导干部和关键岗位人员，坚持受贿行贿一起查，集中力量查处一批医药领域腐败案件，形成声势震慑。强化以案促改，推动深化改革、完善制度等。对于股月的上涨走势，各大券商也纷纷发表了自己的看法，并积极看好后市。中金公司看好本轮股行情，其看好政策层面自上而下的积极信号催化券商板块估值修复行情。券商股的走势短期看市场流动性及风险偏好、中期看政策导向、长期则体现为公司战略及执行所带来的经营差异。当前板块估值及持仓仍处于低位，政策信号以及市场风险偏好的正反馈催化板块的弹性及修复空间明显。国泰君安则认为本轮地产股表现不会昙花一现，其认为在验证行业改善之前，密切关注政策密度，一线城市政策松动之前，都是政策蜜月期，政策密度决定板块表现的高度。楼市切实改善的结果验证，会逐步临近，但这需要先打出政策底牌，因此，在一线城市切实出台具体政策之前，政策密度将决定板块高度，目前已经是蜜月期。天风证券研报则指出，技术面上，市场上周强力反弹后，成交仍未放大，并未出现放量滞涨信号，显示反弹后续动力较强。中期视角，市场估值也处于中等偏低位置。从日历效应角度，年以来，券商指数单日上涨以上，同时过去日累计涨幅超过以上，一共出现次，其中次随后一周券商指数均呈现不同程度的上涨；综合来看，指数中期视角估值处于低位，宏观政策对短期风险偏好较为友好，市场反弹仍未出现放量滞涨，有望维持持续周期较长的一轮反弹。交银国际首席原董事总经理，思睿集团首席经济学家洪灏今日发文表达了对市场的看法，文中没有别的内容，只有一张买字的图片。,0.0031880977683315,0.6521136339314065,0.9270494341407916,0.0106448014667107,2023-01-03 18:19:00
涛粉早大风来了消费国条的重点给大家捋一捋，千万不要简单的看待，国家战略的重心往往意味着牛股摇篮为什么呢？巨量的政策支持巨量的资金支持，得到的是什么？毫无疑问就是巨量的订单，也就是催化业绩主升浪。有点长，一个字一个字，耐心看懂看完国家施政的重点，去年年底是全力以赴支持科技，终结了科技股年的调整，形成了上半年科技股这波牛市。一年以后的今天，国家重心全力以赴支持消费，会不会引发消费的牛市呢？绝大多数人是不信的，那就对了国家为什么要大力支持消费，看一组数据你就明白了：美国年总量为亿美元，美国消费占比例达，这就是美国货币这么紧缩人家经济依然是这么强悍的根本原因年，我国居民消费总额在中的占比为，中的消费率为，印度的消费率也高达，你说消费有多大的空间？如果每年上升个百分点，猜猜十年后会诞生多少千倍牛股呢？别扯犊子，看重点国条重点：、稳定大宗消费：扩大新能源汽车消费。落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策。适度超前建设充电基础设施体系，加快换电模式推广应用。、支持刚性和改善性住房需求，稳步推进老旧小区改造，进一步发挥住宅专项维修资金在老旧小区改造和老旧住宅电梯更新改造中的作用。、提升家装家居和电子产品消费。推广智能家电、集成家电、功能化家具等产品。、扩大餐饮服务消费。培育“种养殖基地中央厨房冷链物流餐饮门店”模式，挖掘预制菜市场潜力，加快推进预制菜基地建设。、加强区域旅游品牌和服务整合，积极举办文化和旅游消费促进活动。、提升健康服务消费。坚持中西医并重，共建城市医疗集团和县域医共体等医疗联合体。着力增加高质量的中医医疗、养生保健、康复、健康旅游等服务。发展“互联网医疗健康”，进一步完善互联网诊疗收费政策，逐步将符合条件的“互联网”医疗服务纳入医保支付范围。评：就是这六条重点个方向，牛股都诞生在板块强者牢牢抱紧消费优质公司的筹码，打死也不下车，收到请统一回复“”剩下的时间怎么办？多跟涛哥学学怎么养生，怎么保养好身体，毕竟哥是从死里走回来的，多学点中医中药知识，无论是结节和息肉，在亚健康状态的时候把它搞定搞死。坚持服用孢子粉石斛，提高免疫力，降低多种慢性病（如失眠、糖尿病，高血压，胃肠道疾病，心脑血管疾病等）对身体的伤害。身体的器官用了几十年，哪会没有毛病呢？养成健康体检的习惯，养成提高免疫力的习惯，在亚健康的时候就把它搞好，活得又健康又尊严有什么不好呢？这，就是白马大道早间签到，在线的铁粉集合，右下角点赞图标点一个，早安涛哥祝福大家身体健康万事如意,1.0,0.2490914056956422,0.7268779509860686,1.0,2023-01-03 18:12:56
重磅“条”发布支持刚性和改善性住房需求今日（月日），国务院办公厅转发国家发展改革委关于恢复和扩大消费措施的通知。《措施》从稳定大宗消费、扩大服务消费、促进农村消费、扩展新型消费、完善消费设施、优化消费环境等几个方面提出条针对性举措。关于房地产方面，《通知》提出，支持刚性和改善性住房需求。做好保交楼、保民生、保稳定工作，完善住房保障基础性制度和支持政策，扩大保障性租赁住房供给，着力解决新市民、青年人等住房困难群体的住房问题。稳步推进老旧小区改造，进一步发挥住宅专项维修资金在老旧小区改造和老旧住宅电梯更新改造中的作用，继续支持城镇老旧小区居民提取住房公积金用于加装电梯等自住住房改造。在超大特大城市积极稳步推进城中村改造。持续推进农房质量安全提升工程，继续实施农村危房改造，支持度及以上设防地区农房抗震改造，鼓励同步开展农房节能改造和品质提升，改善农村居民居住条件。,0.0031880977683315,-0.5540896086280414,0.701601930276402,-0.0068451374515819,2023-01-03 18:11:34
国家发改委副主任：促消费政策不是所谓的掏空钱包透支需求月日下午时，国务院新闻办公室举行国务院政策例行吹风会，国家发展改革委副主任李春临和工业和信息化部、商务部、文化和旅游部、市场监管总局有关负责人介绍恢复和扩大消费的措施有关情况，并答记者问。南方日报南方记者：面对有展开,0.1976620616365568,-0.1022787145750211,0.572273047631326,-0.0638986430661964,2023-01-03 18:10:03
发改委公布恢复和扩大消费条涉汽车餐饮住房等国家发改委公布关于恢复和扩大消费措施的通知，涉及方面条措施，包括稳定汽车、房地产、家居和电子产品等大宗消费，以及扩大服务消费、促进农村消费等。在稳定大宗消费方面，发改委提到各地区不得新增汽车限购措施，已实施限购的地区，因地制宜优化汽车限购措施。着力推动全面取消二手车限迁、便利二手车交易登记等已出台政策落地见效；促进汽车更新消费。当局又指要扩大新能源汽车消费，支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等；促进家庭装修消费，深入开展家电以旧换新。通知又提出，支持刚性和改善性住房需求，做好保交楼、保民生、保稳定工作；着力解决新市民、青年人等住房困难群体的住房问题。稳步推进老旧小区改造，在超大特大城市积极稳步推动城中村改造。在扩大服务消费上，发改委提出，全面落实带薪休假制度，鼓励“错峰休假”、弹性作息，促进假日消费，又将鼓励各地制定实施景区门票减免、淡季免费开放、引导博物馆、文化馆等延长开放时间等措施，又指要促进文娱体育会展消息、提升健康服务消费。发改委亦将促进农村消费，包括大力发展乡村旅游、完善农村电子商务和快递物流配送体系等。当局同时会加快传统消费数字化转型，促进电子商务、直播经济、在线文娱等数字消费规范发展，拓展新型消费。香港卫视综合报道。,0.0031880977683315,0.1714346962831621,0.6971893395199467,0.0021045577756447,2023-01-03 18:09:28
《关于恢复和扩大消费的措施》内容节选分段：为深入实施扩大内需战略，充分发挥消费对经济发展的基础性作用，不断增强高质量发展的持久动力。把恢复和扩大消费摆在优先位置，优化就业、收入分配和消费全链条良性循环促进机制。增强消费能力，改善消费条件，创新消费场景，充分挖掘超大规模市场优势，畅通经济循环，释放消费潜力。坚持有效市场和有为政府更好结合。。。提升服务质量，激发市场活力，释放潜在需求，着力营造推动消费升级的良好生态。坚持优化供给和扩大需求更好结合。把实施扩大内需战略同深化供给侧结构性改革有机结合起来。。。以高质量供给引领和创造市场新需求。坚持提质升级和创新发展更好结合。突出体现大众化、普惠性，加快城乡消费基础设施建设，完善扩大居民消费的长效机制，切实保护消费者权益。。。稳定大宗消费优化汽车购买使用管理。各地区不得新增汽车限购措施。。。着力推动全面取消二手车限迁、便利二手车交易登记等已出台政策落地见效。。。增加城市停车位供给。。扩大新能源汽车消费。落实构建高质量充电基础设施体系、支持新能源汽车下乡。。。支持刚性和改善性住房需求。。。稳步推进老旧小区改造。。。在超大特大城市积极稳步推进城中村改造。持续推进农房质量安全提升工程，继续实施农村危房改造。。。改善农村居民居住条件。提升家装家居和电子产品消费。促进家庭装修消费，鼓励室内全智能装配一体化。。。支持可穿戴设备、智能产品消费，打造电子产品消费应用新场景。扩大服务消费扩大餐饮服务消费。。支持各地举办美食节，打造特色美食街区，开展餐饮促消费活动。因地制宜优化餐饮场所延长营业时间相关规定。。。丰富文旅消费。全面落实带薪休假制度，鼓励错峰休假、弹性作息，促进假日消费。。。推动夜间文旅消费规范创新发展，引导博物馆、文化馆、游乐园等延长开放时间，支持有条件的地区建设“小时生活圈”。。促进文娱体育会展消费。加快审批等工作进度，持续投放优秀电影作品和文艺演出。优化审批流程，增加戏剧节、音乐节、艺术节、动漫节、演唱会等大型活动供给。实施全民健身场地设施提升行动，加强体育公园建设，补齐全民健身设施短板。提升健康服务消费。坚持中西医并重，推动优质医疗资源下沉，加强基本医疗卫生服务。。。开发面向老年人的健康管理、生活照护、康养疗养等服务和产品。促进农村消费开展绿色产品下乡。完善农村电子商务和快递物流配送体系。。支持县级物流配送中心、乡镇物流站点建设改造。推行集约化配送，鼓励农村客运车辆代运邮件快件。建设村级寄递物流综合服务站，增加农村零售网点密度。推动特色产品进城。深入推进农业生产和农产品“三品一标”。。。大力发展乡村旅游。推广浙江“千万工程”经验，建设宜居宜业和美乡村。保护传承优秀乡土文化，盘活和挖掘乡村文旅资源。推动实施乡村民宿服务认证。。。拓展新型消费壮大数字消费。推进数字消费基础设施建设，丰富第五代移动通信（）网络和千兆光网应用场景。。。推动平台经济规范健康持续发展。。推广绿色消费。完善消费设施加快培育多层级消费中心。深化国际消费中心城市建设。。发展智慧商圈，打造“一刻钟”便民生活圈，构建分层分类的城市消费载体，提高居民消费便利度。加强社区便民服务。。着力补齐消费基础设施短板。。加强县域商业体系建设，建设改造一批乡镇商贸中心、集贸市场、农村新型便民商店，推动重点商贸街巷改造升级。完善消费基础设施建设支持政策。。将符合条件的项目纳入地方政府专项债券支持范围。。允许企业在符合国土空间规划、不改变用地结构和性质、确保安全的前提下，严格按文明城市规范要求和所在地临时建设、规划管理相关规定，在建设用地上搭建临时简易建筑，拓展消费新场景。优化消费环境加强金融对消费领域的支持。。加强消费信贷用途和流向监管，推动合理增加消费信贷。。持续提升消费服务质量水平。全面开展放心消费行动，完善重点服务消费领域服务标准。依法打击假冒伪劣行为。。营造放心消费环境。完善促进消费长效机制。。探索建立消费动态大数据监测平台系统，开展消费前瞻指数研究和编制。。加快消费信用体系建设。。加快清理制约消费的各种规定和做法，有序破除消费领域的体制机制障碍和隐性壁垒。。,0.0148777895855472,0.2935878846578228,0.9107008644285032,0.0219701009334539,2023-01-03 18:04:32
全面落实带薪休假制度发改委发布恢复和扩大消费二十条措施国务院办公厅转发国家发展改革委关于恢复和扩大消费措施的通知国办函号各省、自治区、直辖市人民政府，国务院各部委、各直属机构：国家发展改革委《关于恢复和扩大消费的措施》已经国务院同意，现转发给你们，请认真贯彻落实。国务院办公厅年月日（此件公开发布）关于恢复和扩大消费的措施国家发展改革委为深入实施扩大内需战略，充分发挥消费对经济发展的基础性作用，不断增强高质量发展的持久动力，按照党中央、国务院决策部署，现就恢复和扩大消费提出如下措施。一、总体要求以习近平新时代中国特色社会主义思想为指导，深入贯彻党的二十大精神，坚持稳中求进工作总基调，完整、准确、全面贯彻新发展理念，加快构建新发展格局，着力推动高质量发展，把恢复和扩大消费摆在优先位置，优化就业、收入分配和消费全链条良性循环促进机制，增强消费能力，改善消费条件，创新消费场景，充分挖掘超大规模市场优势，畅通经济循环，释放消费潜力，更好满足人民群众对高品质生活的需要。坚持有效市场和有为政府更好结合。顺应市场规律和消费趋势，充分发挥市场在资源配置中的决定性作用，更好发挥政府作用，加快建设全国统一大市场，提升服务质量，激发市场活力，释放潜在需求，着力营造推动消费升级的良好生态。坚持优化供给和扩大需求更好结合。把实施扩大内需战略同深化供给侧结构性改革有机结合起来，增强供给结构对需求变化的适应性和灵活性，拓展消费新空间，打造消费新场景，丰富消费体验，以高质量供给引领和创造市场新需求。坚持提质升级和创新发展更好结合。突出体现大众化、普惠性，加快城乡消费基础设施建设，完善扩大居民消费的长效机制，切实保护消费者权益，营造便利消费、放心消费环境，不断提升消费便利度、舒适度、满意度。二、稳定大宗消费（一）优化汽车购买使用管理。各地区不得新增汽车限购措施，已实施限购的地区因地制宜优化汽车限购措施。着力推动全面取消二手车限迁、便利二手车交易登记等已出台政策落地见效。促进汽车更新消费，鼓励以旧换新，不得对非本地生产的汽车实施歧视性政策。加大汽车消费金融支持力度。增加城市停车位供给，改善人员密集场所和景区停车条件，推进车位资源共享利用。（二）扩大新能源汽车消费。落实构建高质量充电基础设施体系、支持新能源汽车下乡、延续和优化新能源汽车车辆购置税减免等政策。科学布局、适度超前建设充电基础设施体系，加快换电模式推广应用，有效满足居民出行充换电需求。推动居住区内公共充电基础设施优化布局并执行居民电价，研究对充电基础设施用电执行峰谷分时电价政策，推动降低新能源汽车用电成本。（三）支持刚性和改善性住房需求。做好保交楼、保民生、保稳定工作，完善住房保障基础性制度和支持政策，扩大保障性租赁住房供给，着力解决新市民、青年人等住房困难群体的住房问题。稳步推进老旧小区改造，进一步发挥住宅专项维修资金在老旧小区改造和老旧住宅电梯更新改造中的作用，继续支持城镇老旧小区居民提取住房公积金用于加装电梯等自住住房改造。在超大特大城市积极稳步推进城中村改造。持续推进农房质量安全提升工程，继续实施农村危房改造，支持度及以上设防地区农房抗震改造，鼓励同步开展农房节能改造和品质提升，改善农村居民居住条件。（四）提升家装家居和电子产品消费。促进家庭装修消费，鼓励室内全智能装配一体化。推广智能家电、集成家电、功能化家具等产品，提升家居智能化绿色化水平。加快实施家电售后服务提升行动。深入开展家电以旧换新，加强废旧家电回收。利用超高清视频、虚拟现实、柔性显示等新技术，推进供给端技术创新和电子产品升级换代。支持可穿戴设备、智能产品消费，打造电子产品消费应用新场景。三、扩大服务消费（五）扩大餐饮服务消费。倡导健康餐饮消费、反对餐饮浪费，支持各地举办美食节，打造特色美食街区，开展餐饮促消费活动。因地制宜优化餐饮场所延长营业时间相关规定。培育“种养殖基地中央厨房冷链物流餐饮门店”模式，挖掘预制菜市场潜力，加快推进预制菜基地建设，充分体现安全、营养、健康的原则，提升餐饮质量和配送标准化水平。推广透明厨房，让消费者吃得放心。（六）丰富文旅消费。全面落实带薪休假制度，鼓励错峰休假、弹性作息，促进假日消费。加强区域旅游品牌和服务整合，积极举办文化和旅游消费促进活动。健全旅游基础设施，强化智慧景区建设，提高旅游服务质量。鼓励各地制定实施景区门票减免、淡季免费开放等政策。在保障游客自主选择权的基础上，支持不同区域景区合作推行联票模式，鼓励景区结合实际实施一票多次多日使用制，更好满足游客多样化需求。推动夜间文旅消费规范创新发展，引导博物馆、文化馆、游乐园等延长开放时间，支持有条件的地区建设“小时生活圈”。打造沉浸式演艺新空间，建设新型文旅消费集聚区。（七）促进文娱体育会展消费。加快审批等工作进度，持续投放优秀电影作品和文艺演出。优化审批流程，加强安全监管和服务保障，增加戏剧节、音乐节、艺术节、动漫节、演唱会等大型活动供给。鼓励举办各类体育赛事活动，增加受众面广的线下线上体育赛事。大力发展智能体育装备，提升科学健身智慧化水平。实施全民健身场地设施提升行动，加强体育公园建设，补齐全民健身设施短板。遴选确定新一批国家体育消费试点城市。鼓励各地加大对商品展销会、博览会、交易会、购物节、民俗节、品牌展、特色市集等活动的政策支持力度，进一步扩大会展消费。开展“老字号嘉年华”等活动，促进品牌消费。（八）提升健康服务消费。坚持中西医并重，推动优质医疗资源下沉，共建城市医疗集团和县域医共体等医疗联合体，加强基本医疗卫生服务，提高服务质量和水平，着力增加高质量的中医医疗、养生保健、康复、健康旅游等服务。发展“互联网医疗健康”，进一步完善互联网诊疗收费政策，逐步将符合条件的“互联网”医疗服务纳入医保支付范围。开发面向老年人的健康管理、生活照护、康养疗养等服务和产品，支持各类机构举办老年大学、参与老年教育。积极扩大普惠型服务供给，推动公共消费提质增效。四、促进农村消费（九）开展绿色产品下乡。有条件的地区可对绿色智能家电下乡、家电以旧换新等予以适当补贴，按照产品能效、水效等予以差异化政策支持。开展绿色建材下乡活动，鼓励有条件的地区对绿色建材消费予以适当补贴或贷款贴息。（十）完善农村电子商务和快递物流配送体系。大力发展农村直播电商、即时零售，推动电商平台和企业丰富面向农村的产品和服务供给。完善县乡村三级快递物流配送体系，加快提升电商、快递进农村综合水平，支持县级物流配送中心、乡镇物流站点建设改造，整合邮政、快递、供销、电商等资源，推行集约化配送，鼓励农村客运车辆代运邮件快件。建设村级寄递物流综合服务站，在有条件的乡村布设智能快件箱，增加农村零售网点密度，逐步降低物流配送成本。（十一）推动特色产品进城。深入推进农业生产和农产品“三品一标”，开发具有鲜明地域特点、民族特色、乡土特征的产品产业，大力发展农村电子商务和订单农业，拓宽特色农产品上行通道。引导线上线下各类平台持续加大消费帮扶力度，开设专馆专区专柜促进脱贫地区特色产品顺畅销售，带动农民增收致富、增强消费能力。（十二）大力发展乡村旅游。推广浙江“千万工程”经验，建设宜居宜业和美乡村。实施文化产业赋能乡村振兴计划，保护传承优秀乡土文化，盘活和挖掘乡村文旅资源，提升乡村文旅设施效能。推动实施乡村民宿服务认证，培育发布一批等级旅游民宿，打造一批品质民宿。支持经营主体开发森林人家、林间步道、健康氧吧、星空露营、汽车旅馆等产品，因地制宜打造一批美丽田园、景观农业、农耕体验、野外探险、户外运动、研学旅行等新业态，拓展乡村生态游、休闲游。五、拓展新型消费（十三）壮大数字消费。推进数字消费基础设施建设，丰富第五代移动通信（）网络和千兆光网应用场景。加快传统消费数字化转型，促进电子商务、直播经济、在线文娱等数字消费规范发展。支持线上线下商品消费融合发展，提升网上购物节质量水平。发展即时零售、智慧商店等新零售业态。鼓励数字技术企业搭建面向生活服务的数字化平台，推进数字生活智能化，打造数字消费业态、智能化沉浸式服务体验。加强移动支付等安全监管。升级信息消费，促进信息消费体验中心建设改造，提升信息消费示范城市建设水平，高质量举办信息消费系列特色活动，推动新一代信息技术与更多消费领域融合应用。推动平台经济规范健康持续发展，持续推动创新突破，开辟更多新领域新赛道，进一步完善相关领域服务标准。（十四）推广绿色消费。积极发展绿色低碳消费市场，健全绿色低碳产品生产和推广机制，促进居民耐用消费品绿色更新和品质升级。健全节能低碳和绿色制造标准体系，完善绿色产品认证与标识体系，鼓励先行制定团体标准和企业标准。广泛开展节约型机关、绿色家庭、绿色社区、绿色出行等创建行动，反对奢侈浪费和过度消费，倡导理性消费，加快形成简约适度、绿色低碳的生活方式和消费模式。六、完善消费设施（十五）加快培育多层级消费中心。深化国际消费中心城市建设，科学布局、培育发展一批区域消费中心和地方特色消费中心。深入推进海南国际旅游消费中心建设。提升城市商业体系，推动步行街改造提升，发展智慧商圈，打造“一刻钟”便民生活圈，构建分层分类的城市消费载体，提高居民消费便利度。加强社区便民服务，合理布局养老、托育、餐饮、家政、零售、快递、健身、美发、维修、废旧物品回收等便民生活服务业态，推进完整社区建设。（十六）着力补齐消费基础设施短板。结合推进城市更新，强化存量片区改造与支持消费新场景发展的硬件功能衔接。加强县域商业体系建设，建设改造一批乡镇商贸中心、集贸市场、农村新型便民商店，推动重点商贸街巷改造升级。稳步推动产地销地冷链设施建设，补齐农产品仓储保鲜冷链物流设施短板，推动城乡冷链网络双向融合。（十七）完善消费基础设施建设支持政策。实施消费促进专项投资政策，支持消费基础设施建设、设备更新改造和关键生产线改造升级，将符合条件的项目纳入地方政府专项债券支持范围。支持符合条件的消费基础设施发行不动产投资信托基金（）。支持各地保障消费基础设施建设合理用地需求。允许企业在符合国土空间规划、不改变用地结构和性质、确保安全的前提下，严格按文明城市规范要求和所在地临时建设、规划管理相关规定，在建设用地上搭建临时简易建筑，拓展消费新场景。七、优化消费环境（十八）加强金融对消费领域的支持。引导金融机构按市场化方式，加大对住宿餐饮、文化旅游、体育健康、养老托育、家政服务等的综合金融支持力度。更注重以真实消费行为为基础，加强消费信贷用途和流向监管，推动合理增加消费信贷。在加强征信体系建设的基础上，合理优化小额消费信贷和信用卡利率、还款期限、授信额度。（十九）持续提升消费服务质量水平。全面开展放心消费行动，完善重点服务消费领域服务标准。依法打击假冒伪劣行为，持续推动创建放心市场、放心商店、放心网店、放心餐饮、放心景区、放心工厂，加快形成退换货、质量追溯、明码标价、监管、评价的放心消费制度闭环，营造放心消费环境。（二十）完善促进消费长效机制。进一步完善促进消费体制机制。探索建立消费动态大数据监测平台系统，开展消费前瞻指数研究和编制。加快消费信用体系建设。持续深化改革，加快清理制约消费的各种规定和做法，有序破除消费领域的体制机制障碍和隐性壁垒，促进不同地区和行业标准、规则、政策协调统一。各有关部门要充分发挥现有部门间协作机制作用，强化协同联动，加强督促落实，结合实际细化出台工作方案和配套政策。各地区要压实属地责任，完善工作机制，精心组织实施，因地制宜采取有效举措、探索有效做法，切实推动各项措施落地见效。,0.8374070138150903,-0.111434411030314,0.7373807049802,-0.3800383698916187,2023-01-03 23:55:55
国家发改委：下半年将出台实施恢复和扩大消费的政策文件研究出台实施大力发展银发经济政策举措国家发展改革委主要负责人表示，下半年，在扩大内需方面，一是更好发挥消费拉动经济增长的基础性作用。出台实施恢复和扩大消费的政策文件。通过大力推动就业等措施，增加居民收入。提振大宗消费，加快推进充电和停车设施建设，鼓励汽车限购地区优化限购管理政策。继续做好保交楼、保民生、保稳定工作，适时调整优化房地产政策，因城施策用好政策工具箱，更好满足居民刚性和改善性住房需求。促进服务消费“好上加好”，以暑期、中秋、国庆等假期为契机，扩大节假日消费；充分用好大运会、亚运会等各类赛事活动，发展文化、体育消费。研究出台实施大力发展银发经济政策举措。二是积极发挥投资对优化供给结构的关键作用。民间投资始终是有效投资的重点之一，要明确一批鼓励民间资本参与的重点细分领域，加强民间投资融资、用地等要素保障，支持民间资本参与盘活国有存量资产，促进民间投资逐步恢复。更好发挥政府投资带动作用，扎实推进“十四五”规划项重大工程及其他经济社会发展重大项目，加快地方政府专项债券发行和使用。,0.0510095642933049,0.185106587377197,0.5611251423883321,0.0292626045304392,2023-01-03 20:58:44
国家发改委：下半年将出台实施恢复和扩大消费的政策文件研究出台实施大力发展银发经济政策举措据央视新闻，国家发展改革委主要负责人表示，下半年，在扩大内需方面，一是更好发挥消费拉动经济增长的基础性作用。出台实施恢复和扩大消费的政策文件。通过大力推动就业等措施，增加居民收入。提振大宗消费，加快推进充电和停车设施建设，鼓励汽车限购地区优化限购管理政策。继续做好保交楼、保民生、保稳定工作，适时调整优化房地产政策，因城施策用好政策工具箱，更好满足居民刚性和改善性住房需求。,0.0127523910733262,0.986679035520016,0.6971893395199467,0.0484504731256853,2023-01-04 10:04:00
