Location,Score
河南,0.13271650628634726
广东,0.638227491444283
北京,0.2859530242428051
湖北,0.38616895118048944
四川,-0.32709854296519064
江西,0.4802165078518873
广西,0.34796032498233065
河北,0.29269610526369144
安徽,0.6174908026346836
上海,0.09106995389407369
山东,0.494302098577892
吉林,0.8108986058423491
福建,0.10280387932127466
浙江,0.706518538461822
湖南,-0.27360677137943423
山西,0.6798388759012463
辽宁,0.1854852265870278
内蒙,-0.42814919131777895
新加,0.48647989021455
宁夏,0.3138243830365903
江苏,0.6738719179989403
重庆,0.6506874490881709
陕西,0.9175854808317632
海南,0.29027588088307066
澳大,0.4768229257996406
新疆,0.727655516785397
贵州,0.9088332096979411
黑龙江,0.24335129535443145
天津,0.0
台湾,0.24936424643743393
香港,0.0
甘肃,0.48647989021455
澳门,0.0
云南,0.039722533912404
内蒙古,0.21134129565246215
西藏,0.0
